purchase_month,orders_count,unique_customers,product_revenue,average_order_value,average_delivery_days,late_delivery_rate,average_review_score
2016-09-01,1,1,134.97,134.97,54.81319444444444,1.0,1.0
2016-10-01,265,262,40325.11,152.17022641509433,19.600558787561145,0.011320754716981131,4.011450381679389
2016-12-01,1,1,10.9,10.9,4.693020833333334,0.0,5.0
2017-01-01,750,718,111798.36,149.06448,12.647043518518519,0.030666666666666665,4.199055330634278
2017-02-01,1653,1630,234223.4,141.69594676346037,13.168825248986131,0.03206291591046582,4.202678027997566
2017-03-01,2546,2508,359198.85,141.0836017282011,12.951184487831313,0.05577376276512176,4.187376335575782
2017-04-01,2303,2274,340669.68,147.9243074250977,14.91791250040205,0.07859313938341293,4.137554585152839
2017-05-01,3546,3479,489338.25,137.99725042301185,11.322362975369588,0.03609701071630006,4.238487777146106
2017-06-01,3135,3076,421923.37,134.58480701754385,12.01157270438301,0.03859649122807018,4.222918675666988
2017-07-01,3872,3802,481604.52,124.3813326446281,11.592732387200606,0.034349173553719005,4.258415755682805
2017-08-01,4193,4114,554699.7,132.29184354877174,11.147124655510508,0.03315048891008824,4.3115246098439375
2017-09-01,4150,4083,607399.67,146.36136626506024,11.85100652889335,0.052048192771084335,4.267484215638659
2017-10-01,4478,4417,648247.65,144.76276239392587,11.856699698526127,0.05292541313086199,4.205240665766982
2017-11-01,7289,7183,987765.37,135.51452462614898,15.161131699241778,0.14309233090958978,3.988878143133462
2017-12-01,5513,5450,726033.1900000001,131.694756031199,15.394918530107287,0.08380192272809722,4.0895440395531955
2018-01-01,7069,6974,924645.0,130.80280096194653,14.080562613956085,0.06563870420144292,4.108726650506203
2018-02-01,6555,6400,826437.13,126.0773653699466,16.945137568155495,0.15987795575896263,3.881717125147277
2018-03-01,7003,6914,953356.25,136.13540625446237,16.30141017440938,0.21362273311437954,3.8132556131260795
2018-04-01,6798,6744,973534.09,143.2088982053545,11.499241053673193,0.05310385407472786,4.2062351895734595
2018-05-01,6749,6693,977544.6900000001,144.84289376203884,11.419028935356678,0.08238257519632539,4.236239214519488
2018-06-01,6099,6061,856077.86,140.36364322020003,9.239216293167347,0.013608788325955074,4.306995884773663
2018-07-01,6159,6100,867953.46,140.9244130540672,8.958636237154959,0.044812469556746226,4.318085280182976
2018-08-01,6351,6310,838576.64,132.03851991812314,7.732779720458137,0.10392064241851677,4.3103475513428124
